,Date,AirportName,PercentOfBaseline,City,State,Country,weekday,month,long,lat,AvgPercentOfBaseline
0,2020-04-03,Kingsford Smith,64,Sydney,New South Wales,Australia,Пт,Апр,151.180087713813,-33.9459774986125,37.750972762645915
1,2020-04-13,Kingsford Smith,29,Sydney,New South Wales,Australia,Пн,Апр,151.180087713813,-33.9459774986125,37.750972762645915
2,2020-07-10,Kingsford Smith,54,Sydney,New South Wales,Australia,Пт,Июл,151.180087713813,-33.9459774986125,37.750972762645915
3,2020-09-02,Kingsford Smith,18,Sydney,New South Wales,Australia,Ср,Сен,151.180087713813,-33.9459774986125,37.750972762645915
4,2020-10-31,Kingsford Smith,22,Sydney,New South Wales,Australia,Сб,Окт,151.180087713813,-33.9459774986125,37.750972762645915
5,2020-04-14,Kingsford Smith,59,Sydney,New South Wales,Australia,Вт,Апр,151.180087713813,-33.9459774986125,37.750972762645915
6,2020-05-14,Kingsford Smith,59,Sydney,New South Wales,Australia,Чт,Май,151.180087713813,-33.9459774986125,37.750972762645915
7,2020-07-04,Kingsford Smith,48,Sydney,New South Wales,Australia,Сб,Июл,151.180087713813,-33.9459774986125,37.750972762645915
8,2020-08-05,Kingsford Smith,20,Sydney,New South Wales,Australia,Ср,Авг,151.180087713813,-33.9459774986125,37.750972762645915
9,2020-11-20,Kingsford Smith,27,Sydney,New South Wales,Australia,Пт,Ноя,151.180087713813,-33.9459774986125,37.750972762645915
10,2020-06-21,Kingsford Smith,46,Sydney,New South Wales,Australia,Вс,Июн,151.180087713813,-33.9459774986125,37.750972762645915
11,2020-08-10,Kingsford Smith,19,Sydney,New South Wales,Australia,Пн,Авг,151.180087713813,-33.9459774986125,37.750972762645915
12,2020-10-01,Kingsford Smith,19,Sydney,New South Wales,Australia,Чт,Окт,151.180087713813,-33.9459774986125,37.750972762645915
13,2020-10-21,Kingsford Smith,20,Sydney,New South Wales,Australia,Ср,Окт,151.180087713813,-33.9459774986125,37.750972762645915
14,2020-11-05,Kingsford Smith,16,Sydney,New South Wales,Australia,Чт,Ноя,151.180087713813,-33.9459774986125,37.750972762645915
15,2020-11-10,Kingsford Smith,27,Sydney,New South Wales,Australia,Вт,Ноя,151.180087713813,-33.9459774986125,37.750972762645915
16,2020-11-17,Kingsford Smith,22,Sydney,New South Wales,Australia,Вт,Ноя,151.180087713813,-33.9459774986125,37.750972762645915
17,2020-11-28,Kingsford Smith,46,Sydney,New South Wales,Australia,Сб,Ноя,151.180087713813,-33.9459774986125,37.750972762645915
18,2020-03-30,Kingsford Smith,75,Sydney,New South Wales,Australia,Пн,Мар,151.180087713813,-33.9459774986125,37.750972762645915
19,2020-04-01,Kingsford Smith,69,Sydney,New South Wales,Australia,Ср,Апр,151.180087713813,-33.9459774986125,37.750972762645915
20,2020-07-02,Kingsford Smith,56,Sydney,New South Wales,Australia,Чт,Июл,151.180087713813,-33.9459774986125,37.750972762645915
21,2020-07-05,Kingsford Smith,52,Sydney,New South Wales,Australia,Вс,Июл,151.180087713813,-33.9459774986125,37.750972762645915
22,2020-07-17,Kingsford Smith,51,Sydney,New South Wales,Australia,Пт,Июл,151.180087713813,-33.9459774986125,37.750972762645915
23,2020-04-22,Kingsford Smith,60,Sydney,New South Wales,Australia,Ср,Апр,151.180087713813,-33.9459774986125,37.750972762645915
24,2020-05-08,Kingsford Smith,56,Sydney,New South Wales,Australia,Пт,Май,151.180087713813,-33.9459774986125,37.750972762645915
25,2020-05-30,Kingsford Smith,30,Sydney,New South Wales,Australia,Сб,Май,151.180087713813,-33.9459774986125,37.750972762645915
26,2020-07-19,Kingsford Smith,52,Sydney,New South Wales,Australia,Вс,Июл,151.180087713813,-33.9459774986125,37.750972762645915
27,2020-08-01,Kingsford Smith,25,Sydney,New South Wales,Australia,Сб,Авг,151.180087713813,-33.9459774986125,37.750972762645915
28,2020-08-12,Kingsford Smith,19,Sydney,New South Wales,Australia,Ср,Авг,151.180087713813,-33.9459774986125,37.750972762645915
29,2020-09-16,Kingsford Smith,18,Sydney,New South Wales,Australia,Ср,Сен,151.180087713813,-33.9459774986125,37.750972762645915
30,2020-09-20,Kingsford Smith,16,Sydney,New South Wales,Australia,Вс,Сен,151.180087713813,-33.9459774986125,37.750972762645915
31,2020-03-17,Kingsford Smith,90,Sydney,New South Wales,Australia,Вт,Мар,151.180087713813,-33.9459774986125,37.750972762645915
32,2020-03-22,Kingsford Smith,89,Sydney,New South Wales,Australia,Вс,Мар,151.180087713813,-33.9459774986125,37.750972762645915
33,2020-07-11,Kingsford Smith,52,Sydney,New South Wales,Australia,Сб,Июл,151.180087713813,-33.9459774986125,37.750972762645915
34,2020-04-06,Kingsford Smith,59,Sydney,New South Wales,Australia,Пн,Апр,151.180087713813,-33.9459774986125,37.750972762645915
35,2020-04-10,Kingsford Smith,8,Sydney,New South Wales,Australia,Пт,Апр,151.180087713813,-33.9459774986125,37.750972762645915
36,2020-07-15,Kingsford Smith,58,Sydney,New South Wales,Australia,Ср,Июл,151.180087713813,-33.9459774986125,37.750972762645915
37,2020-04-07,Kingsford Smith,64,Sydney,New South Wales,Australia,Вт,Апр,151.180087713813,-33.9459774986125,37.750972762645915
38,2020-04-17,Kingsford Smith,69,Sydney,New South Wales,Australia,Пт,Апр,151.180087713813,-33.9459774986125,37.750972762645915
39,2020-05-28,Kingsford Smith,61,Sydney,New South Wales,Australia,Чт,Май,151.180087713813,-33.9459774986125,37.750972762645915
40,2020-08-20,Kingsford Smith,13,Sydney,New South Wales,Australia,Чт,Авг,151.180087713813,-33.9459774986125,37.750972762645915
41,2020-10-18,Kingsford Smith,16,Sydney,New South Wales,Australia,Вс,Окт,151.180087713813,-33.9459774986125,37.750972762645915
42,2020-11-18,Kingsford Smith,25,Sydney,New South Wales,Australia,Ср,Ноя,151.180087713813,-33.9459774986125,37.750972762645915
43,2020-05-17,Kingsford Smith,43,Sydney,New South Wales,Australia,Вс,Май,151.180087713813,-33.9459774986125,37.750972762645915
44,2020-06-11,Kingsford Smith,64,Sydney,New South Wales,Australia,Чт,Июн,151.180087713813,-33.9459774986125,37.750972762645915
45,2020-07-03,Kingsford Smith,46,Sydney,New South Wales,Australia,Пт,Июл,151.180087713813,-33.9459774986125,37.750972762645915
46,2020-07-30,Kingsford Smith,22,Sydney,New South Wales,Australia,Чт,Июл,151.180087713813,-33.9459774986125,37.750972762645915
47,2020-09-18,Kingsford Smith,16,Sydney,New South Wales,Australia,Пт,Сен,151.180087713813,-33.9459774986125,37.750972762645915
48,2020-11-30,Kingsford Smith,29,Sydney,New South Wales,Australia,Пн,Ноя,151.180087713813,-33.9459774986125,37.750972762645915
49,2020-04-04,Kingsford Smith,27,Sydney,New South Wales,Australia,Сб,Апр,151.180087713813,-33.9459774986125,37.750972762645915
50,2020-04-24,Kingsford Smith,62,Sydney,New South Wales,Australia,Пт,Апр,151.180087713813,-33.9459774986125,37.750972762645915
51,2020-03-23,Kingsford Smith,84,Sydney,New South Wales,Australia,Пн,Мар,151.180087713813,-33.9459774986125,37.750972762645915
52,2020-05-03,Kingsford Smith,50,Sydney,New South Wales,Australia,Вс,Май,151.180087713813,-33.9459774986125,37.750972762645915
53,2020-09-08,Kingsford Smith,12,Sydney,New South Wales,Australia,Вт,Сен,151.180087713813,-33.9459774986125,37.750972762645915
54,2020-11-08,Kingsford Smith,24,Sydney,New South Wales,Australia,Вс,Ноя,151.180087713813,-33.9459774986125,37.750972762645915
55,2020-11-29,Kingsford Smith,28,Sydney,New South Wales,Australia,Вс,Ноя,151.180087713813,-33.9459774986125,37.750972762645915
56,2020-04-28,Kingsford Smith,57,Sydney,New South Wales,Australia,Вт,Апр,151.180087713813,-33.9459774986125,37.750972762645915
57,2020-06-02,Kingsford Smith,59,Sydney,New South Wales,Australia,Вт,Июн,151.180087713813,-33.9459774986125,37.750972762645915
58,2020-06-05,Kingsford Smith,50,Sydney,New South Wales,Australia,Пт,Июн,151.180087713813,-33.9459774986125,37.750972762645915
59,2020-07-01,Kingsford Smith,62,Sydney,New South Wales,Australia,Ср,Июл,151.180087713813,-33.9459774986125,37.750972762645915
60,2020-07-14,Kingsford Smith,58,Sydney,New South Wales,Australia,Вт,Июл,151.180087713813,-33.9459774986125,37.750972762645915
61,2020-08-28,Kingsford Smith,22,Sydney,New South Wales,Australia,Пт,Авг,151.180087713813,-33.9459774986125,37.750972762645915
62,2020-09-17,Kingsford Smith,17,Sydney,New South Wales,Australia,Чт,Сен,151.180087713813,-33.9459774986125,37.750972762645915
63,2020-10-02,Kingsford Smith,16,Sydney,New South Wales,Australia,Пт,Окт,151.180087713813,-33.9459774986125,37.750972762645915
64,2020-10-29,Kingsford Smith,24,Sydney,New South Wales,Australia,Чт,Окт,151.180087713813,-33.9459774986125,37.750972762645915
65,2020-03-20,Kingsford Smith,85,Sydney,New South Wales,Australia,Пт,Мар,151.180087713813,-33.9459774986125,37.750972762645915
66,2020-06-25,Kingsford Smith,62,Sydney,New South Wales,Australia,Чт,Июн,151.180087713813,-33.9459774986125,37.750972762645915
67,2020-08-24,Kingsford Smith,11,Sydney,New South Wales,Australia,Пн,Авг,151.180087713813,-33.9459774986125,37.750972762645915
68,2020-09-29,Kingsford Smith,21,Sydney,New South Wales,Australia,Вт,Сен,151.180087713813,-33.9459774986125,37.750972762645915
69,2020-06-10,Kingsford Smith,56,Sydney,New South Wales,Australia,Ср,Июн,151.180087713813,-33.9459774986125,37.750972762645915
70,2020-07-06,Kingsford Smith,55,Sydney,New South Wales,Australia,Пн,Июл,151.180087713813,-33.9459774986125,37.750972762645915
71,2020-10-07,Kingsford Smith,16,Sydney,New South Wales,Australia,Ср,Окт,151.180087713813,-33.9459774986125,37.750972762645915
72,2020-05-04,Kingsford Smith,53,Sydney,New South Wales,Australia,Пн,Май,151.180087713813,-33.9459774986125,37.750972762645915
73,2020-05-12,Kingsford Smith,54,Sydney,New South Wales,Australia,Вт,Май,151.180087713813,-33.9459774986125,37.750972762645915
74,2020-06-17,Kingsford Smith,58,Sydney,New South Wales,Australia,Ср,Июн,151.180087713813,-33.9459774986125,37.750972762645915
75,2020-07-18,Kingsford Smith,36,Sydney,New South Wales,Australia,Сб,Июл,151.180087713813,-33.9459774986125,37.750972762645915
76,2020-09-12,Kingsford Smith,29,Sydney,New South Wales,Australia,Сб,Сен,151.180087713813,-33.9459774986125,37.750972762645915
77,2020-04-08,Kingsford Smith,69,Sydney,New South Wales,Australia,Ср,Апр,151.180087713813,-33.9459774986125,37.750972762645915
78,2020-05-05,Kingsford Smith,56,Sydney,New South Wales,Australia,Вт,Май,151.180087713813,-33.9459774986125,37.750972762645915
79,2020-05-19,Kingsford Smith,60,Sydney,New South Wales,Australia,Вт,Май,151.180087713813,-33.9459774986125,37.750972762645915
80,2020-07-08,Kingsford Smith,55,Sydney,New South Wales,Australia,Ср,Июл,151.180087713813,-33.9459774986125,37.750972762645915
81,2020-07-28,Kingsford Smith,22,Sydney,New South Wales,Australia,Вт,Июл,151.180087713813,-33.9459774986125,37.750972762645915
82,2020-08-27,Kingsford Smith,17,Sydney,New South Wales,Australia,Чт,Авг,151.180087713813,-33.9459774986125,37.750972762645915
83,2020-09-30,Kingsford Smith,16,Sydney,New South Wales,Australia,Ср,Сен,151.180087713813,-33.9459774986125,37.750972762645915
84,2020-03-19,Kingsford Smith,89,Sydney,New South Wales,Australia,Чт,Мар,151.180087713813,-33.9459774986125,37.750972762645915
85,2020-04-19,Kingsford Smith,49,Sydney,New South Wales,Australia,Вс,Апр,151.180087713813,-33.9459774986125,37.750972762645915
86,2020-05-23,Kingsford Smith,16,Sydney,New South Wales,Australia,Сб,Май,151.180087713813,-33.9459774986125,37.750972762645915
87,2020-09-23,Kingsford Smith,17,Sydney,New South Wales,Australia,Ср,Сен,151.180087713813,-33.9459774986125,37.750972762645915
88,2020-10-11,Kingsford Smith,25,Sydney,New South Wales,Australia,Вс,Окт,151.180087713813,-33.9459774986125,37.750972762645915
89,2020-11-26,Kingsford Smith,25,Sydney,New South Wales,Australia,Чт,Ноя,151.180087713813,-33.9459774986125,37.750972762645915
90,2020-06-14,Kingsford Smith,55,Sydney,New South Wales,Australia,Вс,Июн,151.180087713813,-33.9459774986125,37.750972762645915
91,2020-03-25,Kingsford Smith,84,Sydney,New South Wales,Australia,Ср,Мар,151.180087713813,-33.9459774986125,37.750972762645915
92,2020-06-15,Kingsford Smith,52,Sydney,New South Wales,Australia,Пн,Июн,151.180087713813,-33.9459774986125,37.750972762645915
93,2020-06-27,Kingsford Smith,51,Sydney,New South Wales,Australia,Сб,Июн,151.180087713813,-33.9459774986125,37.750972762645915
94,2020-06-29,Kingsford Smith,57,Sydney,New South Wales,Australia,Пн,Июн,151.180087713813,-33.9459774986125,37.750972762645915
95,2020-09-06,Kingsford Smith,9,Sydney,New South Wales,Australia,Вс,Сен,151.180087713813,-33.9459774986125,37.750972762645915
96,2020-11-14,Kingsford Smith,18,Sydney,New South Wales,Australia,Сб,Ноя,151.180087713813,-33.9459774986125,37.750972762645915
97,2020-04-30,Kingsford Smith,65,Sydney,New South Wales,Australia,Чт,Апр,151.180087713813,-33.9459774986125,37.750972762645915
98,2020-05-13,Kingsford Smith,56,Sydney,New South Wales,Australia,Ср,Май,151.180087713813,-33.9459774986125,37.750972762645915
99,2020-06-01,Kingsford Smith,55,Sydney,New South Wales,Australia,Пн,Июн,151.180087713813,-33.9459774986125,37.750972762645915
100,2020-07-20,Kingsford Smith,51,Sydney,New South Wales,Australia,Пн,Июл,151.180087713813,-33.9459774986125,37.750972762645915
101,2020-10-12,Kingsford Smith,22,Sydney,New South Wales,Australia,Пн,Окт,151.180087713813,-33.9459774986125,37.750972762645915
102,2020-10-13,Kingsford Smith,21,Sydney,New South Wales,Australia,Вт,Окт,151.180087713813,-33.9459774986125,37.750972762645915
103,2020-05-22,Kingsford Smith,50,Sydney,New South Wales,Australia,Пт,Май,151.180087713813,-33.9459774986125,37.750972762645915
104,2020-06-13,Kingsford Smith,36,Sydney,New South Wales,Australia,Сб,Июн,151.180087713813,-33.9459774986125,37.750972762645915
105,2020-10-05,Kingsford Smith,10,Sydney,New South Wales,Australia,Пн,Окт,151.180087713813,-33.9459774986125,37.750972762645915
106,2020-11-16,Kingsford Smith,23,Sydney,New South Wales,Australia,Пн,Ноя,151.180087713813,-33.9459774986125,37.750972762645915
107,2020-06-18,Kingsford Smith,59,Sydney,New South Wales,Australia,Чт,Июн,151.180087713813,-33.9459774986125,37.750972762645915
108,2020-07-07,Kingsford Smith,59,Sydney,New South Wales,Australia,Вт,Июл,151.180087713813,-33.9459774986125,37.750972762645915
109,2020-08-14,Kingsford Smith,26,Sydney,New South Wales,Australia,Пт,Авг,151.180087713813,-33.9459774986125,37.750972762645915
110,2020-09-13,Kingsford Smith,10,Sydney,New South Wales,Australia,Вс,Сен,151.180087713813,-33.9459774986125,37.750972762645915
111,2020-11-19,Kingsford Smith,22,Sydney,New South Wales,Australia,Чт,Ноя,151.180087713813,-33.9459774986125,37.750972762645915
112,2020-05-29,Kingsford Smith,54,Sydney,New South Wales,Australia,Пт,Май,151.180087713813,-33.9459774986125,37.750972762645915
113,2020-07-16,Kingsford Smith,56,Sydney,New South Wales,Australia,Чт,Июл,151.180087713813,-33.9459774986125,37.750972762645915
114,2020-08-04,Kingsford Smith,20,Sydney,New South Wales,Australia,Вт,Авг,151.180087713813,-33.9459774986125,37.750972762645915
115,2020-08-18,Kingsford Smith,21,Sydney,New South Wales,Australia,Вт,Авг,151.180087713813,-33.9459774986125,37.750972762645915
116,2020-08-22,Kingsford Smith,27,Sydney,New South Wales,Australia,Сб,Авг,151.180087713813,-33.9459774986125,37.750972762645915
117,2020-08-23,Kingsford Smith,9,Sydney,New South Wales,Australia,Вс,Авг,151.180087713813,-33.9459774986125,37.750972762645915
118,2020-10-04,Kingsford Smith,6,Sydney,New South Wales,Australia,Вс,Окт,151.180087713813,-33.9459774986125,37.750972762645915
119,2020-08-07,Kingsford Smith,22,Sydney,New South Wales,Australia,Пт,Авг,151.180087713813,-33.9459774986125,37.750972762645915
120,2020-09-09,Kingsford Smith,16,Sydney,New South Wales,Australia,Ср,Сен,151.180087713813,-33.9459774986125,37.750972762645915
121,2020-10-17,Kingsford Smith,11,Sydney,New South Wales,Australia,Сб,Окт,151.180087713813,-33.9459774986125,37.750972762645915
122,2020-10-25,Kingsford Smith,16,Sydney,New South Wales,Australia,Вс,Окт,151.180087713813,-33.9459774986125,37.750972762645915
123,2020-11-15,Kingsford Smith,26,Sydney,New South Wales,Australia,Вс,Ноя,151.180087713813,-33.9459774986125,37.750972762645915
124,2020-04-09,Kingsford Smith,54,Sydney,New South Wales,Australia,Чт,Апр,151.180087713813,-33.9459774986125,37.750972762645915
125,2020-05-07,Kingsford Smith,62,Sydney,New South Wales,Australia,Чт,Май,151.180087713813,-33.9459774986125,37.750972762645915
126,2020-06-12,Kingsford Smith,60,Sydney,New South Wales,Australia,Пт,Июн,151.180087713813,-33.9459774986125,37.750972762645915
127,2020-08-11,Kingsford Smith,20,Sydney,New South Wales,Australia,Вт,Авг,151.180087713813,-33.9459774986125,37.750972762645915
128,2020-10-19,Kingsford Smith,22,Sydney,New South Wales,Australia,Пн,Окт,151.180087713813,-33.9459774986125,37.750972762645915
129,2020-03-18,Kingsford Smith,97,Sydney,New South Wales,Australia,Ср,Мар,151.180087713813,-33.9459774986125,37.750972762645915
130,2020-06-23,Kingsford Smith,58,Sydney,New South Wales,Australia,Вт,Июн,151.180087713813,-33.9459774986125,37.750972762645915
131,2020-09-21,Kingsford Smith,15,Sydney,New South Wales,Australia,Пн,Сен,151.180087713813,-33.9459774986125,37.750972762645915
132,2020-10-10,Kingsford Smith,18,Sydney,New South Wales,Australia,Сб,Окт,151.180087713813,-33.9459774986125,37.750972762645915
133,2020-05-09,Kingsford Smith,19,Sydney,New South Wales,Australia,Сб,Май,151.180087713813,-33.9459774986125,37.750972762645915
134,2020-06-03,Kingsford Smith,61,Sydney,New South Wales,Australia,Ср,Июн,151.180087713813,-33.9459774986125,37.750972762645915
135,2020-08-03,Kingsford Smith,15,Sydney,New South Wales,Australia,Пн,Авг,151.180087713813,-33.9459774986125,37.750972762645915
136,2020-08-25,Kingsford Smith,12,Sydney,New South Wales,Australia,Вт,Авг,151.180087713813,-33.9459774986125,37.750972762645915
137,2020-09-27,Kingsford Smith,12,Sydney,New South Wales,Australia,Вс,Сен,151.180087713813,-33.9459774986125,37.750972762645915
138,2020-04-18,Kingsford Smith,32,Sydney,New South Wales,Australia,Сб,Апр,151.180087713813,-33.9459774986125,37.750972762645915
139,2020-05-11,Kingsford Smith,47,Sydney,New South Wales,Australia,Пн,Май,151.180087713813,-33.9459774986125,37.750972762645915
140,2020-09-03,Kingsford Smith,12,Sydney,New South Wales,Australia,Чт,Сен,151.180087713813,-33.9459774986125,37.750972762645915
141,2020-09-14,Kingsford Smith,18,Sydney,New South Wales,Australia,Пн,Сен,151.180087713813,-33.9459774986125,37.750972762645915
142,2020-03-24,Kingsford Smith,89,Sydney,New South Wales,Australia,Вт,Мар,151.180087713813,-33.9459774986125,37.750972762645915
143,2020-04-26,Kingsford Smith,48,Sydney,New South Wales,Australia,Вс,Апр,151.180087713813,-33.9459774986125,37.750972762645915
144,2020-05-02,Kingsford Smith,41,Sydney,New South Wales,Australia,Сб,Май,151.180087713813,-33.9459774986125,37.750972762645915
145,2020-05-10,Kingsford Smith,40,Sydney,New South Wales,Australia,Вс,Май,151.180087713813,-33.9459774986125,37.750972762645915
146,2020-10-23,Kingsford Smith,15,Sydney,New South Wales,Australia,Пт,Окт,151.180087713813,-33.9459774986125,37.750972762645915
147,2020-11-09,Kingsford Smith,21,Sydney,New South Wales,Australia,Пн,Ноя,151.180087713813,-33.9459774986125,37.750972762645915
148,2020-05-21,Kingsford Smith,54,Sydney,New South Wales,Australia,Чт,Май,151.180087713813,-33.9459774986125,37.750972762645915
149,2020-07-26,Kingsford Smith,17,Sydney,New South Wales,Australia,Вс,Июл,151.180087713813,-33.9459774986125,37.750972762645915
150,2020-09-10,Kingsford Smith,16,Sydney,New South Wales,Australia,Чт,Сен,151.180087713813,-33.9459774986125,37.750972762645915
151,2020-11-11,Kingsford Smith,28,Sydney,New South Wales,Australia,Ср,Ноя,151.180087713813,-33.9459774986125,37.750972762645915
152,2020-11-23,Kingsford Smith,22,Sydney,New South Wales,Australia,Пн,Ноя,151.180087713813,-33.9459774986125,37.750972762645915
153,2020-04-15,Kingsford Smith,61,Sydney,New South Wales,Australia,Ср,Апр,151.180087713813,-33.9459774986125,37.750972762645915
154,2020-08-13,Kingsford Smith,14,Sydney,New South Wales,Australia,Чт,Авг,151.180087713813,-33.9459774986125,37.750972762645915
155,2020-10-16,Kingsford Smith,18,Sydney,New South Wales,Australia,Пт,Окт,151.180087713813,-33.9459774986125,37.750972762645915
156,2020-05-15,Kingsford Smith,59,Sydney,New South Wales,Australia,Пт,Май,151.180087713813,-33.9459774986125,37.750972762645915
157,2020-09-28,Kingsford Smith,12,Sydney,New South Wales,Australia,Пн,Сен,151.180087713813,-33.9459774986125,37.750972762645915
158,2020-11-06,Kingsford Smith,20,Sydney,New South Wales,Australia,Пт,Ноя,151.180087713813,-33.9459774986125,37.750972762645915
159,2020-04-29,Kingsford Smith,59,Sydney,New South Wales,Australia,Ср,Апр,151.180087713813,-33.9459774986125,37.750972762645915
160,2020-05-01,Kingsford Smith,61,Sydney,New South Wales,Australia,Пт,Май,151.180087713813,-33.9459774986125,37.750972762645915
161,2020-06-30,Kingsford Smith,62,Sydney,New South Wales,Australia,Вт,Июн,151.180087713813,-33.9459774986125,37.750972762645915
162,2020-08-09,Kingsford Smith,19,Sydney,New South Wales,Australia,Вс,Авг,151.180087713813,-33.9459774986125,37.750972762645915
163,2020-09-05,Kingsford Smith,27,Sydney,New South Wales,Australia,Сб,Сен,151.180087713813,-33.9459774986125,37.750972762645915
164,2020-09-22,Kingsford Smith,16,Sydney,New South Wales,Australia,Вт,Сен,151.180087713813,-33.9459774986125,37.750972762645915
165,2020-12-01,Kingsford Smith,21,Sydney,New South Wales,Australia,Вт,Дек,151.180087713813,-33.9459774986125,37.750972762645915
166,2020-04-12,Kingsford Smith,25,Sydney,New South Wales,Australia,Вс,Апр,151.180087713813,-33.9459774986125,37.750972762645915
167,2020-06-19,Kingsford Smith,65,Sydney,New South Wales,Australia,Пт,Июн,151.180087713813,-33.9459774986125,37.750972762645915
168,2020-06-20,Kingsford Smith,26,Sydney,New South Wales,Australia,Сб,Июн,151.180087713813,-33.9459774986125,37.750972762645915
169,2020-08-15,Kingsford Smith,16,Sydney,New South Wales,Australia,Сб,Авг,151.180087713813,-33.9459774986125,37.750972762645915
170,2020-11-27,Kingsford Smith,18,Sydney,New South Wales,Australia,Пт,Ноя,151.180087713813,-33.9459774986125,37.750972762645915
171,2020-03-16,Kingsford Smith,92,Sydney,New South Wales,Australia,Пн,Мар,151.180087713813,-33.9459774986125,37.750972762645915
172,2020-03-27,Kingsford Smith,81,Sydney,New South Wales,Australia,Пт,Мар,151.180087713813,-33.9459774986125,37.750972762645915
173,2020-03-31,Kingsford Smith,71,Sydney,New South Wales,Australia,Вт,Мар,151.180087713813,-33.9459774986125,37.750972762645915
174,2020-08-26,Kingsford Smith,11,Sydney,New South Wales,Australia,Ср,Авг,151.180087713813,-33.9459774986125,37.750972762645915
175,2020-05-24,Kingsford Smith,40,Sydney,New South Wales,Australia,Вс,Май,151.180087713813,-33.9459774986125,37.750972762645915
